ID,案件名稱,案件地址,物件經度,物件緯度,屋主姓名,屋主戶籍地址,戶籍地經度,戶籍地緯度,預算(萬),總坪數,最新狀態,最後拜訪紀錄,負責同仁,網頁連結,樓層,總樓層,型態,騰本連結,案件數量
2079585,秀朗國小x漂亮美妝雅寓,新北市永和區民有街,121.523333,24.996333,需查閱,新北市永和區民有街,121.523333,24.996333,1598,23.5,🔴尚未拜訪,暫無紀錄,未分配,https://app.houseflow.tw/HOUSE/ExploreHouseNew?A10OnLineId=2079585,3,4,公寓,https://app.houseflow.tw/HOUSE/Transcript/BuildingDialog/F2079585?HostId=2&A10OnLineId=2079585,1
2079552,頂溪全新電梯3房,新北市永和區仁愛路,121.510444,25.013444,需查閱,新北市永和區仁愛路,121.510444,25.013444,3798,40.75,🔴尚未拜訪,暫無紀錄,未分配,https://app.houseflow.tw/HOUSE/ExploreHouseNew?A10OnLineId=2079552,10,12,電梯,https://app.houseflow.tw/HOUSE/Transcript/BuildingDialog/F2079552?HostId=2&A10OnLineId=2079552,1
3422662,頂溪全新樓中樓,新北市永和區仁愛路,121.510555,25.013555,需查閱,新北市永和區仁愛路,121.510555,25.013555,3998,38.09,🔴尚未拜訪,暫無紀錄,未分配,https://app.houseflow.tw/HOUSE/ExploreHouseNew?A10OnLineId=3422662,12,12,電梯,https://app.houseflow.tw/HOUSE/Transcript/BuildingDialog/F3422662?HostId=2&A10OnLineId=3422662,1
2411044,四號公園新邨溫馨質感兩房,新北市永和區秀朗路一段,121.515666,25.006666,需查閱,新北市永和區秀朗路一段,121.515666,25.006666,1928,21.95,🔴尚未拜訪,暫無紀錄,未分配,https://app.houseflow.tw/HOUSE/ExploreHouseNew?A10OnLineId=2411044,5,14,電梯,https://app.houseflow.tw/HOUSE/Transcript/BuildingDialog/F2411044?HostId=2&A10OnLineId=2411044,1
2565192,永和低總價2樓美寓,新北市永和區民享街,121.516777,25.001777,需查閱,新北市永和區民享街,121.516777,25.001777,1488,23.4,🔴尚未拜訪,暫無紀錄,未分配,https://app.houseflow.tw/HOUSE/ExploreHouseNew?A10OnLineId=2565192,2,4,公寓,https://app.houseflow.tw/HOUSE/Transcript/BuildingDialog/F2565192?HostId=2&A10OnLineId=2565192,1
3411044,群義🌟漢寶三房車,新北市永和區成功路一段,121.528999,25.002999,需查閱,新北市永和區成功路一段,121.528999,25.002999,2780,41.24,🔴尚未拜訪,暫無紀錄,未分配,https://app.houseflow.tw/HOUSE/ExploreHouseNew?A10OnLineId=3411044,5,11,電梯,https://app.houseflow.tw/HOUSE/Transcript/BuildingDialog/F3411044?HostId=2&A10OnLineId=3411044,1
3410672,水築館溫馨四房,新北市永和區環河西路二段,121.510123,25.009123,需查閱,新北市永和區環河西路二段,121.510123,25.009123,2968,47.67,🔴尚未拜訪,暫無紀錄,未分配,https://app.houseflow.tw/HOUSE/ExploreHouseNew?A10OnLineId=3410672,2,22,電梯,https://app.houseflow.tw/HOUSE/Transcript/BuildingDialog/F3410672?HostId=2&A10OnLineId=3410672,1
3410934,專任🏆中正路靜巷一樓🏆,新北市永和區中正路,121.518234,24.996234,需查閱,新北市永和區中正路,121.518234,24.996234,2168,36.66,🔴尚未拜訪,暫無紀錄,未分配,https://app.houseflow.tw/HOUSE/ExploreHouseNew?A10OnLineId=3410934,1,5,公寓,https://app.houseflow.tw/HOUSE/Transcript/BuildingDialog/F3410934?HostId=2&A10OnLineId=3410934,1
3410907,🍎保平路活巷住辦1樓,新北市永和區保平路,121.512456,25.005456,需查閱,新北市永和區保平路,121.512456,25.005456,2388,33.2,🔴尚未拜訪,暫無紀錄,未分配,https://app.houseflow.tw/HOUSE/ExploreHouseNew?A10OnLineId=3410907,1,7,公寓/辦公,https://app.houseflow.tw/HOUSE/Transcript/BuildingDialog/F3410907?HostId=2&A10OnLineId=3410907,1
1443176,LA0813 頂溪挑高店面,新北市永和區環河東路一段,121.520567,25.011567,需查閱,新北市永和區環河東路一段,121.520567,25.011567,1880,27.66,🔴尚未拜訪,暫無紀錄,未分配,https://app.houseflow.tw/HOUSE/ExploreHouseNew?A10OnLineId=1443176,1,14,店面,https://app.houseflow.tw/HOUSE/Transcript/BuildingDialog/F1443176?HostId=2&A10OnLineId=1443176,1
3410989,全新交屋~~詠和心2房車,新北市永和區中正路,121.518345,24.996345,需查閱,新北市永和區中正路,121.518345,24.996345,3150,41.46,🔴尚未拜訪,暫無紀錄,未分配,https://app.houseflow.tw/HOUSE/ExploreHouseNew?A10OnLineId=3410989,7,15,電梯,https://app.houseflow.tw/HOUSE/Transcript/BuildingDialog/F3410989?HostId=2&A10OnLineId=3410989,1
2324003,皇邸邊間稀有三房,新北市永和區保平路,121.512567,25.005567,需查閱,新北市永和區保平路,121.512567,25.005567,2980,40.1,🔴尚未拜訪,暫無紀錄,未分配,https://app.houseflow.tw/HOUSE/ExploreHouseNew?A10OnLineId=2324003,4,7,電梯,https://app.houseflow.tw/HOUSE/Transcript/BuildingDialog/F2324003?HostId=2&A10OnLineId=2324003,1
1628846,台北福第兩房,新北市永和區中正路,121.518456,24.996456,需查閱,新北市永和區中正路,121.518456,24.996456,2298,34.65,🔴尚未拜訪,暫無紀錄,未分配,https://app.houseflow.tw/HOUSE/ExploreHouseNew?A10OnLineId=1628846,7,11,電梯,https://app.houseflow.tw/HOUSE/Transcript/BuildingDialog/F1628846?HostId=2&A10OnLineId=1628846,1
2151046,福和國中收租好宅,新北市永和區永利路,121.523567,25.004567,需查閱,新北市永和區永利路,121.523567,25.004567,1220,20.44,🔴尚未拜訪,暫無紀錄,未分配,https://app.houseflow.tw/HOUSE/ExploreHouseNew?A10OnLineId=2151046,3,4,公寓,https://app.houseflow.tw/HOUSE/Transcript/BuildingDialog/F2151046?HostId=2&A10OnLineId=2151046,1
439375,頂溪裝潢電梯3房,新北市永和區竹林路,121.522333,25.009333,需查閱,新北市永和區竹林路,121.522333,25.009333,1748,21.88,🔴尚未拜訪,暫無紀錄,未分配,https://app.houseflow.tw/HOUSE/ExploreHouseNew?A10OnLineId=439375,3,7,電梯,https://app.houseflow.tw/HOUSE/Transcript/BuildingDialog/F439375?HostId=2&A10OnLineId=439375,1
